Date,Open,High,Low,Close,Adj Close,Volume
2019-01-22,43.857498,44.487499,43.810001,44.345001,40.215771,8654400
2019-01-23,44.485001,44.865002,44.047501,44.845001,40.669216,9089200
2019-01-24,44.814999,45.220001,44.490002,45.070000,40.873268,9812800
2019-01-25,44.625000,44.872501,43.480000,43.549999,39.494804,15254400
2019-01-28,44.027500,44.027500,42.942501,43.117500,39.102577,11976800
2019-01-29,43.270000,43.357498,42.935001,43.215000,39.190990,7924400
2019-01-30,43.060001,43.657501,43.025002,43.397499,39.356503,8345600
2019-01-31,43.360001,44.822498,43.337502,44.744999,40.578522,12519600
2019-02-01,44.592499,44.779999,44.125000,44.455002,40.315529,8934000
2019-02-04,44.277500,44.547501,44.032501,44.525002,40.379013,11302000
2019-02-05,44.392502,44.674999,44.192501,44.542500,40.394875,7956800
2019-02-06,44.682499,44.810001,44.400002,44.525002,40.379013,6647200
2019-02-07,44.500000,45.362499,44.470001,45.337502,41.115856,8516800
2019-02-08,45.302502,45.842499,45.255001,45.752499,41.492207,7322400
2019-02-11,45.605000,45.982498,45.580002,45.752499,41.492207,7404400
2019-02-12,45.750000,46.102501,45.419998,45.817501,41.551151,7004800
2019-02-13,45.764999,45.965000,45.607498,45.712502,41.455936,5726400
2019-02-14,45.840000,46.110001,45.634998,45.652500,41.401527,6408000
2019-02-15,46.152500,46.277500,45.825001,46.009998,41.725742,8813200
2019-02-19,46.032501,46.452499,45.849998,46.342499,42.027260,9774000
2019-02-20,46.270000,46.525002,46.009998,46.410000,42.088486,10203200
2019-02-21,46.222500,46.717499,46.139999,46.639999,42.297073,8274800
2019-02-22,46.707500,47.035000,46.439999,47.032501,42.653019,6735200
2019-02-25,47.112499,47.347500,46.577499,46.970001,42.596348,7555600
2019-02-26,47.044998,47.255001,46.787498,47.057499,42.675690,7644400
2019-02-27,46.645000,46.872501,46.520000,46.702499,42.636898,7288000
2019-02-28,46.752499,47.185001,46.514999,46.930000,42.844585,12454000
2019-03-01,46.880001,47.145000,46.647499,46.889999,42.808067,6865600
2019-03-04,47.057499,47.137501,46.642502,47.060001,42.963272,8609200
2019-03-05,47.092499,47.302502,47.005001,47.080002,42.981533,7666800
2019-03-06,47.014999,47.242500,46.744999,46.892502,42.810349,7155600
2019-03-07,47.064999,47.282501,46.845001,46.982498,42.892517,9411200
2019-03-08,47.152500,47.357498,46.730000,47.174999,43.068260,6972800
2019-03-11,47.152500,47.445000,47.115002,47.375000,43.250847,7135600
2019-03-12,47.500000,47.840000,47.357498,47.722500,43.568100,7140400
2019-03-13,47.467499,47.880001,47.365002,47.742500,43.586361,4916000
2019-03-14,47.790001,48.042500,47.552502,47.744999,43.588642,5816800
2019-03-15,47.689999,47.985001,47.502499,47.810001,43.647984,14402000
2019-03-18,47.867500,47.994999,47.532501,47.717499,43.563526,7469200
2019-03-19,47.632500,47.652500,46.947498,47.125000,43.022617,8080800
2019-03-20,47.259998,47.792500,46.959999,47.467499,43.335300,8669200
2019-03-21,47.572498,48.070000,47.462502,47.977501,43.800903,7499200
2019-03-22,48.062500,48.887501,48.062500,48.482498,44.261940,9486000
2019-03-25,48.612499,48.775002,48.387501,48.402500,44.188908,7038400
2019-03-26,48.455002,48.832500,48.255001,48.750000,44.506153,6093200
2019-03-27,48.812500,48.825001,48.217499,48.480000,44.259663,6116800
2019-03-28,48.477501,48.597500,47.830002,47.980000,43.803177,9324000
2019-03-29,47.982498,48.367500,47.825001,48.330002,44.122719,12039200
2019-04-01,48.355000,48.437500,47.552502,47.622501,43.476799,9640400
2019-04-02,47.677502,47.750000,47.177502,47.369999,43.246284,9960400
2019-04-03,47.277500,47.570000,46.972500,47.327499,43.207481,8202800
2019-04-04,47.494999,47.509998,46.857498,47.099998,42.999794,7106800
2019-04-05,47.345001,47.584999,47.000000,47.520000,43.383224,6452800
2019-04-08,47.360001,47.455002,46.957500,47.160000,43.054565,5772800
2019-04-09,47.160000,47.485001,47.132500,47.427502,43.298779,6617200
2019-04-10,47.437500,47.855000,47.099998,47.154999,43.049999,5291600
2019-04-11,47.154999,47.544998,47.099998,47.509998,43.374092,5738400
2019-04-12,47.342499,47.762501,47.112499,47.712502,43.558968,4768400
2019-04-15,47.777500,48.017502,47.669998,47.790001,43.629726,5872800
2019-04-16,47.764999,48.077499,47.355000,47.380001,43.255417,6523200
2019-04-17,47.437500,47.637501,47.259998,47.412498,43.285088,8045600
2019-04-18,47.355000,47.669998,47.310001,47.340000,43.218895,6670800
2019-04-22,47.292500,47.707500,47.262501,47.595001,43.451698,7303600
